ENSEMBL_ID	Gene_Symbol	fpkm_ESC_1	fpkm_ESC_2	fpkm_NPC_1	fpkm_NPC_2	fpkm_NPC_ncx_1	fpkm_NPC_ncx_2	fpkm_CN_1	fpkm_CN_2	fpkm_CN_ncx_1	fpkm_CN_ncx_2
ENSMUSG00000000001	Gnai3	42.0474674420546	40.950461728694	47.319446708321	54.5917115491335	54.665595197997	38.273744072572	35.256934677779	26.4699586746249	49.0078204267087	40.9807146524034
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	28.1178159258972	21.9956388658748	20.8985089825391	24.5772279188648	19.4705979192627	19.9396815519137	0.454033639881006	0.962950436651555	1.307083338968	1.03351031155066
ENSMUSG00000000031	H19	21.2932657356581	7.47961785697533	3.72483168157399	0.382701555748993	8.58987587084307	6.58283224025983	3.36768733206427	5.83586396022311	0.296512018320712	0.364002747763411
ENSMUSG00000000037	Scml2	5.02384099016207	1.95455302487011	1.31250807414903	0.746642614111376	3.47911488918651	3.03060996617938	1.91677158758834	1.02857278696523	2.09969956470543	2.55040657293431
ENSMUSG00000000049	Apoh	0	0	0.00995125430946559	0	0.0151810274020747	0	0	0	0.0163419886485601	0
ENSMUSG00000000056	Narf	5.44508470683976	4.27763273726173	6.91789002871993	6.35723684857456	13.8464489423626	13.2949746075863	26.044330681278	19.6431202985236	30.3093496531961	27.9790732814309
ENSMUSG00000000058	Cav2	0.123218839450421	0.126200492584561	0.0523194282045486	0	2.43073967689172	0.782004687012327	0.0447113087149186	0	0.320244175753522	0.112563003415007
ENSMUSG00000000078	Klf6	13.9836727633119	17.634815899775	13.9777814693561	6.60552816094122	10.79380768177	5.68494341450794	25.2266811048438	10.9533842459396	15.4367502097714	13.1571656870527
ENSMUSG00000024406	Pou5f1	577.731694835897	391.484538270038	0.917303789149226	0.323049142432958	0.204525176111759	0.342091371916236	0.957062383769041	1.99363866795725	0.046350764956948	0.233788551131969
